step,nta,cat,s,e,is,ia,r,d
0,BX35,i,10686.952323833266,0.0,0.0,0.0,0.0,0.0
0,BX35,h,15881.400034017017,0.0,0.0,0.0,0.0,0.0
0,BX36,m,4877.508624322276,0.0,0.0,0.0,0.0,0.0
0,BX36,c,11288.944364791912,0.0,0.0,0.0,0.0,0.0
0,BX36,i,15293.927704314723,0.0,0.0,0.0,0.0,0.0
0,BX36,h,22727.61930657109,0.0,0.0,0.0,0.0,0.0
0,BX37,m,1118.4422445478256,0.0,0.0,0.0,0.0,0.0
0,BX37,c,7608.005491696177,0.0,0.0,0.0,0.0,0.0
0,BX37,i,8255.469575389488,0.0,0.0,0.0,0.0,0.0
0,BX37,h,12268.082688366507,0.0,0.0,0.0,0.0,0.0
0,BX39,m,7001.617530846187,0.0,0.0,0.0,0.0,0.0
0,BX39,c,8635.281792222426,0.0,0.0,0.0,0.0,0.0
0,BX39,i,14792.95476426972,0.0,0.0,0.0,0.0,0.0
0,BX39,h,21983.14591266167,0.0,0.0,0.0,0.0,0.0
0,BX40,m,3624.219957878888,0.0,0.0,0.0,0.0,0.0
0,BX40,c,4807.467765940873,0.0,0.0,0.0,0.0,0.0
0,BX40,i,7976.618158620778,0.0,0.0,0.0,0.0,0.0
0,BX40,h,11853.694117559462,0.0,0.0,0.0,0.0,0.0
0,BX41,m,7261.924543160863,0.0,0.0,0.0,0.0,0.0
0,BX41,c,8194.180683218387,0.0,0.0,0.0,0.0,0.0
0,BX41,i,14621.918368964214,0.0,0.0,0.0,0.0,0.0
0,BX41,h,21728.976404656536,0.0,0.0,0.0,0.0,0.0
0,BX43,m,5150.139968115533,0.0,0.0,0.0,0.0,0.0
0,BX43,c,6930.843779968729,0.0,0.0,0.0,0.0,0.0
0,BX43,i,11428.956751652033,0.0,0.0,0.0,0.0,0.0
0,BX43,h,16984.059500263706,0.0,0.0,0.0,0.0,0.0
0,BX44,m,7020.250107522678,0.0,0.0,0.0,0.0,0.0
0,BX44,c,11274.262768860859,0.0,0.0,0.0,0.0,0.0
